City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,naze,28.3667,129.4833,19.51,63,72,5.89,JP,1675219944
307,kutum,14.2,24.6667,17.11,20,63,2.92,SD,1675220130
308,pemangkat,1.1667,108.9667,26.7,80,100,0.8,ID,1675220130
309,vagur,61.4732,-6.8119,5.27,71,89,15.59,FO,1675220131
310,ayan,56.45,138.1667,-20.5,61,99,6.32,RU,1675219915
311,bertoua,4.5833,13.6833,20.27,53,15,1.59,CM,1675220131
312,aljezur,37.3191,-8.8033,7.59,64,0,2.66,PT,1675220132
313,tasiilaq,65.6145,-37.6368,-11.91,73,97,3.14,GL,1675220132
314,tessalit,20.1986,1.0114,14.81,12,3,4.01,ML,1675220132
315,roblin,51.23,-101.3565,-31.95,100,37,0.94,CA,1675220132
316,ko samui,9.5357,99.9357,27.95,74,20,0.0,TH,1675220133
317,kudahuvadhoo,2.6708,72.8944,26.75,73,100,4.89,MV,1675219872
318,klyuchevskiy,53.5317,119.4519,-17.4,68,13,1.87,RU,1675220133
319,norman wells,65.282,-126.8329,-31.98,75,20,0.0,CA,1675220134
320,lac-au-saumon,48.421,-67.3476,-26.77,99,51,1.1,CA,1675220134
321,ngunguru,-35.6167,174.5,22.34,81,100,5.22,NZ,1675219817
322,visnes,59.3556,5.2242,6.23,75,20,8.75,NO,1675220134
323,zhangye,38.9342,100.4517,-5.88,48,87,0.35,CN,1675219934
324,worthing,50.8145,-0.3713,5.98,83,25,2.24,GB,1675220135
325,canora,51.6333,-102.4343,-22.99,100,13,2.08,CA,1675220135
326,gimli,50.6336,-96.9907,-25.99,70,44,2.57,CA,1675220136
327,ambon,-3.6954,128.1814,31.08,62,40,5.14,ID,1675219854
328,jalu,29.0331,21.5482,10.2,66,2,5.78,LY,1675220136
329,marawi,7.9986,124.2928,27.8,61,18,1.98,PH,1675220136
330,puerto del rosario,28.5004,-13.8627,14.86,63,100,4.12,ES,1675220020
331,nanortalik,60.1432,-45.2371,-10.02,84,99,2.5,GL,1675219938
332,tanggu,39.0211,117.6469,0.98,19,18,8.83,CN,1675220137
333,weihe,32.9952,105.3247,8.89,33,94,1.94,CN,1675220137
334,svay rieng,11.0879,105.7993,26.63,60,98,2.12,KH,1675220138
335,tura,25.5198,90.2201,21.96,42,37,1.15,IN,1675220138
336,changji,44.0167,87.3167,-12.56,85,100,1.0,CN,1675220138
337,taksimo,56.3444,114.8794,-17.16,76,100,1.99,RU,1675220139
338,lakes entrance,-37.8811,147.981,25.65,55,10,4.22,AU,1675220139
339,ternate,0.8,127.4,29.18,69,44,3.11,ID,1675219962
340,den helder,52.9599,4.7593,7.23,78,100,11.62,NL,1675219576
341,sakaraha,-22.9,44.5333,21.05,83,97,1.13,MG,1675220139
342,taywarah,33.35,64.4167,-7.6,76,94,3.61,AF,1675220140
343,byron bay,-28.65,153.6167,29.84,82,40,4.35,AU,1675219862
344,severo-kurilsk,50.6789,156.125,-3.59,52,63,1.55,RU,1675220088
345,teguise,29.0605,-13.564,14.12,67,0,7.72,ES,1675220140
346,gewane,10.1664,40.6453,19.71,64,1,2.49,ET,1675220141
347,ionia,42.9873,-85.0711,-10.81,72,40,2.57,US,1675220113
348,labuhan,-6.8844,112.2051,27.71,76,100,3.42,ID,1675220141
349,pacifica,37.6138,-122.4869,11.96,58,20,5.14,US,1675220141
350,broken hill,-31.95,141.4333,25.81,29,0,5.12,AU,1675220100
351,birecik,37.0294,37.9903,2.56,93,100,0.72,TR,1675220142
352,sivas,39.7916,37.0019,-1.65,93,75,5.66,TR,1675220142
353,saint-louis,16.3333,-15.0,20.5,19,4,4.2,SN,1675219785
354,la serena,-29.9078,-71.2542,17.73,88,0,2.06,CL,1675219815
355,liverpool,53.4106,-2.9779,8.49,81,75,11.32,GB,1675220098
356,namibe,-15.1961,12.1522,21.91,83,100,2.69,AO,1675220067
357,bayshore gardens,27.4253,-82.5904,20.99,88,0,0.0,US,1675220143
358,ust-omchug,61.15,149.6333,-20.78,96,99,1.19,RU,1675220143
359,mandalgovi,45.7625,106.2708,-12.61,49,0,3.27,MN,1675220143
360,isla vista,34.4133,-119.861,12.13,70,0,0.0,US,1675220144
361,gigmoto,13.7796,124.39,26.94,83,26,5.31,PH,1675219890
